aligned_arm,species,moseq_cluster,moseq_label,soft_frames,expected_soft_frames,log2_enrichment_vs_arm_expected,standardized_residual,q_value
2,Peromyscus_californicus,34,very_slow_locomotion,20273.028549578055,4553.432320879889,2.1545352802533784,232.95495030852797,0.0
2,Peromyscus_californicus,33,jump_1,6589.692366363901,1650.5367740264721,1.9972758337108873,121.57383176285191,0.0
2,Peromyscus_californicus,10,motionless_rear,9771.385668031737,3340.4002913443915,1.5485421674548283,111.27004549111017,0.0
2,Peromyscus_californicus,2,sniff_floor,35032.3445280569,11995.718362063977,1.5461679874319245,210.33219027506775,0.0
2,Peromyscus_californicus,7,extend_rear,12465.534505544412,4562.118371228899,1.4501689597943128,117.01231576277362,0.0
2,Peromyscus_californicus,42,groom_6,33355.93519572871,12726.394769577662,1.390119711078056,182.8676389717018,0.0
2,Peromyscus_californicus,3,step_to_stop,25394.57557263176,9819.529157791672,1.3707946072461763,157.17519851284794,0.0
2,Peromyscus_californicus,41,jump_2,5657.20111546405,2737.206722692553,1.047384064396067,55.81208133964848,0.0
2,Peromyscus_gossypinus,50,syllable_50,1130.6871806655276,60.12456437860106,4.233101497769943,138.0657964366054,0.0
2,Peromyscus_gossypinus,45,idle_enter_groom,7561.785868411635,1922.8852112764089,1.9754543542502967,128.59312896981567,0.0
2,Peromyscus_gossypinus,38,brief_fast,8047.188007543277,2087.3738636385942,1.9467957182902051,130.44654950407877,0.0
2,Peromyscus_gossypinus,26,still_2,109928.26998713272,31369.15598579001,1.8091438305322518,443.5526312214809,0.0
2,Peromyscus_gossypinus,17,slow_locomotion,9869.55684717295,4529.453633074285,1.1236482725332557,79.34631134835786,0.0
2,Peromyscus_gossypinus,2,sniff_floor,23420.30702595515,14060.255888506148,0.7361371379532512,78.93718032535111,0.0
2,Peromyscus_gossypinus,10,motionless_rear,6081.542030920581,3915.303898337068,0.6353128875824446,34.6197125925182,1.8372239614236063e-262
2,Peromyscus_gossypinus,22,stopping,9725.86574292874,6304.128787027938,0.6255296686626157,43.09571415468968,0.0
2,Peromyscus_leucopus,26,still_2,122642.56764587609,16132.235983496035,2.926441486732363,838.5799103351094,0.0
2,Peromyscus_leucopus,35,groom_2,47344.092276557734,17117.463022154097,1.4677155176844323,231.0308734408971,0.0
2,Peromyscus_leucopus,38,brief_fast,2643.2886947372804,1073.4750966603547,1.3000452790850436,47.91286048809054,0.0
2,Peromyscus_leucopus,40,groom_5,5692.363208541022,6195.080144861948,-0.12209522861492018,-6.387046119172406,1.813252289375079e-10
2,Peromyscus_leucopus,42,groom_6,6798.9467442200985,7671.213805737924,-0.17414360224770573,-9.959038915046467,2.547756529731638e-23
2,Peromyscus_leucopus,36,groom_3,8432.690075442995,10167.147995214484,-0.2698502054758146,-17.201415846537483,3.1064743899885637e-66
2,Peromyscus_leucopus,37,groom_4,7652.253354588898,9466.904508116588,-0.30700812991495824,-18.65044295379348,1.5277987746697558e-77
2,Peromyscus_leucopus,31,groom_1,6507.69908469874,8971.752345933177,-0.4632422546809972,-26.014258565008607,4.440692713989453e-149
2,Peromyscus_maniculatus,16,brief_walk,33256.837221413705,12669.076040953898,1.3923396603486722,182.90966332205943,0.0
2,Peromyscus_maniculatus,17,slow_locomotion,31571.596259763304,15373.404966233364,1.0381904705791147,130.6415997158985,0.0
2,Peromyscus_maniculatus,35,groom_2,226910.88090644917,112972.28556492334,1.00615689811062,338.98845180949,0.0
2,Peromyscus_maniculatus,33,jump_1,12200.281146978608,6566.234944801105,0.8937761174176874,69.52839353945667,0.0
2,Peromyscus_maniculatus,37,groom_4,115669.16111639809,62479.92696830254,0.8885396024361595,212.79111023808147,0.0
2,Peromyscus_maniculatus,40,groom_5,74037.57275724609,40886.45392819767,0.8566346550533963,163.94888490880635,0.0
2,Peromyscus_maniculatus,36,groom_3,119652.41659217227,67101.41247038987,0.8344344946686089,202.8687660990476,0.0
2,Peromyscus_maniculatus,26,still_2,177434.96318574462,106469.95807553377,0.7368439055243665,217.48569504838085,0.0
2,Peromyscus_polionotus,38,brief_fast,19767.63364518474,7760.563630643316,1.3489068377462234,136.29829118729046,0.0
2,Peromyscus_polionotus,46,syllable_46,55526.79203443714,23694.5718394834,1.2286274573647138,206.79617311174115,0.0
2,Peromyscus_polionotus,48,groom_11,46902.59845010706,20241.95706979283,1.2123190696321045,187.38910777887418,0.0
2,Peromyscus_polionotus,47,groom_10,46112.349226547805,20735.499941676804,1.153050335099747,176.23024498395972,0.0
2,Peromyscus_polionotus,29,mid_rear_3,31658.45516896088,16142.965523403325,0.9716852268432234,122.11635315856707,0.0
2,Peromyscus_polionotus,42,groom_6,104591.8354915261,55458.14993650918,0.915298843725836,208.6395576730944,0.0
2,Peromyscus_polionotus,16,brief_walk,26112.53929147863,13877.57925948251,0.9119868252784649,103.85937308257198,0.0
2,Peromyscus_polionotus,45,idle_enter_groom,13216.700781496913,7149.017862339819,0.8865451270396766,71.76285141102508,0.0
