species,moseq_cluster,log2_enrichment_vs_arm_expected,standardized_residual,q_value,soft_frames,expected_soft_frames,moseq_label,aligned_arm,omnibus_chi2,omnibus_p_value,omnibus_dof
Mus_caroli,0,-0.8989505285482343,-133.46910760948091,0.0,44425.52815296234,82840.68346692364,head_low,1,28308504.904681325,0.0,378
Mus_caroli,1,0.7520042258747645,186.07841197153286,0.0,124591.8038573097,73979.88379340574,head_down,1,28308504.904681325,0.0,378
Mus_caroli,2,-1.743687760963012,-186.07653577886418,0.0,21016.291778427963,70381.48217017537,sniff_floor,1,28308504.904681325,0.0,378
Mus_caroli,3,-1.6084160807097754,-170.567861229701,0.0,21126.15047011347,64417.201623275265,step_to_stop,1,28308504.904681325,0.0,378
Mus_caroli,4,0.0006738097434072136,0.10623601774391682,0.9153950946043458,51739.00378618978,51714.8447616206,turn_left,1,28308504.904681325,0.0,378
Mus_caroli,5,0.30375094701473115,48.918055987583394,0.0,53783.42494942747,43572.282283058186,enter_rear,1,28308504.904681325,0.0,378
Mus_caroli,6,0.044976831953512854,6.668996750050237,2.7844103374728063e-11,45756.96300837097,44352.470542555195,turn_right,1,28308504.904681325,0.0,378
Mus_caroli,7,-2.515840878898903,-199.71142819361168,0.0,10242.183601937417,58578.213911422274,extend_rear,1,28308504.904681325,0.0,378
Mus_caroli,8,-0.5164683689535846,-60.87007625241972,0.0,28604.617305843447,40917.45492719004,extend_rear_2,1,28308504.904681325,0.0,378
Mus_caroli,9,-0.381703943093654,-46.96731699466334,0.0,31329.635677174112,40818.74810724824,still,1,28308504.904681325,0.0,378
Mus_caroli,10,-3.116298410759836,-190.65533335385516,0.0,5355.810186272178,46443.4500682898,motionless_rear,1,28308504.904681325,0.0,378
Mus_caroli,11,3.134848867002506,1843.6229765982428,0.0,492767.3680830353,56099.423659042826,start_moving,1,28308504.904681325,0.0,378
Mus_caroli,12,-1.07601815851586,-87.27102934653612,0.0,13074.054583899384,27562.844527270572,syllable_12,1,28308504.904681325,0.0,378
Mus_caroli,13,0.5906152712393024,112.3664841122747,0.0,74294.43984105483,49335.93918240527,take_a_step,1,28308504.904681325,0.0,378
Mus_caroli,14,0.05779825344426081,11.782624489413509,5.38501942152146e-32,86485.96488148578,83089.59211007378,curve_spine,1,28308504.904681325,0.0,378
Mus_caroli,15,-0.7037721111988059,-65.50182675362066,0.0,17676.510342538266,28790.75456475643,syllable_15,1,28308504.904681325,0.0,378
Mus_caroli,16,-4.084519347649415,-231.89835234997878,0.0,3579.325891724355,60724.519008834446,brief_walk,1,28308504.904681325,0.0,378
Mus_caroli,17,-3.6753611580086423,-215.00486252058857,0.0,4258.895500720467,54411.52993542188,slow_locomotion,1,28308504.904681325,0.0,378
Mus_caroli,18,1.1362462590753661,202.5989001931004,0.0,62855.62150414124,28595.646424552735,leave_rear_turn_right_2,1,28308504.904681325,0.0,378
Mus_caroli,19,-0.4277027478571697,-52.76994642719212,0.0,31452.836504482413,42306.89705878565,high_rear,1,28308504.904681325,0.0,378
Mus_caroli,20,-0.36036410771384453,-36.78358991554747,4.2836825286823435e-296,21573.33808928591,27694.769531174286,enter_wall_rear,1,28308504.904681325,0.0,378
Mus_caroli,21,1.181096683731686,203.5268504275054,0.0,58465.45536939872,25784.20865795954,leave_rear_turn_left_2,1,28308504.904681325,0.0,378
Mus_caroli,22,0.12881766181421722,18.899970162004358,1.3497714823287925e-79,44774.626427988485,40950.007993571824,stopping,1,28308504.904681325,0.0,378
Mus_caroli,23,-0.9166472075964228,-120.29446669130282,0.0,34663.66690630332,65435.40695372929,scrunch_idle,1,28308504.904681325,0.0,378
Mus_caroli,24,0.15104334791882829,16.2726969953984,1.7809388024969657e-59,24136.166194362875,21737.00519809861,end_and_enter_rear,1,28308504.904681325,0.0,378
Mus_caroli,25,-1.897324311642058,-100.5478717851549,0.0,5071.019072624744,18890.644417503012,syllable_25,1,28308504.904681325,0.0,378
Mus_caroli,26,-2.6720493861843275,-183.52456291024265,0.0,7434.759773396913,47384.24395859209,still_2,1,28308504.904681325,0.0,378
Mus_caroli,27,1.6404362821326044,391.9144431123786,0.0,106786.12143173932,34252.65860133999,stop_rear_start_walking,1,28308504.904681325,0.0,378
Mus_caroli,28,0.23115818345941339,39.12872667333402,0.0,59510.42335501639,50699.945544213384,mid_rear_2,1,28308504.904681325,0.0,378
Mus_caroli,29,0.4749926981106689,61.38626009315821,0.0,34450.69699808892,24786.25783263655,mid_rear_3,1,28308504.904681325,0.0,378
Mus_caroli,30,-0.9474901369163227,-67.20466200301517,0.0,10102.856727638871,19483.507630784843,syllable_30,1,28308504.904681325,0.0,378
Mus_caroli,31,-0.7975966053113837,-74.40141121486663,0.0,17656.767648782894,30691.047026920514,groom_1,1,28308504.904681325,0.0,378
Mus_caroli,32,-0.7342698994523243,-75.78152586822664,0.0,21697.49510160077,36094.98483150724,slow_locomotion_2,1,28308504.904681325,0.0,378
Mus_caroli,33,-1.1912410541515648,-80.80297385875488,0.0,9050.4125526465,20666.534902126372,jump_1,1,28308504.904681325,0.0,378
Mus_caroli,34,-1.955099172048665,-136.51337670923343,0.0,8727.415413213197,33839.905655875504,very_slow_locomotion,1,28308504.904681325,0.0,378
Mus_caroli,35,-3.094238230164879,-169.73626097447163,0.0,4327.764482294648,36959.16402212062,groom_2,1,28308504.904681325,0.0,378
Mus_caroli,36,-2.765583543923327,-152.47362130679358,0.0,4699.185628261662,31955.543114724987,groom_3,1,28308504.904681325,0.0,378
Mus_caroli,37,-2.098609269519322,-136.91529522445902,0.0,7449.313537317545,31905.13548321784,groom_4,1,28308504.904681325,0.0,378
Mus_caroli,38,-1.0639706243432565,-75.12194422329598,0.0,9918.086675054334,20735.521947143123,brief_fast,1,28308504.904681325,0.0,378
Mus_caroli,39,0.5972395308145824,69.7006260914904,0.0,27946.78815382296,18473.317286157406,paused_in_rear,1,28308504.904681325,0.0,378
Mus_caroli,40,-1.5085919339757503,-94.45488059639214,0.0,7454.798454718696,21211.30212211976,groom_5,1,28308504.904681325,0.0,378
Mus_caroli,41,-0.11231245703842582,-11.251614747200916,2.545848154236808e-29,20878.707186702733,22569.036662098326,jump_2,1,28308504.904681325,0.0,378
Mus_caroli,42,-1.4157114451942152,-89.4108251820829,0.0,7666.642258250515,20453.932049646166,groom_6,1,28308504.904681325,0.0,378
Mus_caroli,43,0.01341432211555059,0.9536277275235026,0.3449763380768792,10518.800724326558,10421.449161642558,syllable_43,1,28308504.904681325,0.0,378
Mus_caroli,44,-0.36685301384652763,-23.58680097567053,6.36445798287362e-123,8557.839155640868,11035.649050522248,groom_7,1,28308504.904681325,0.0,378
Mus_caroli,45,-3.0161649310534653,-66.14603728446056,0.0,704.1318303980138,5696.526122168982,idle_enter_groom,1,28308504.904681325,0.0,378
Mus_caroli,46,-1.9328803629804496,-67.25470998219944,0.0,2174.5369756232367,8302.746229214068,syllable_46,1,28308504.904681325,0.0,378
Mus_caroli,47,-1.6872949191597018,-58.4781276904997,0.0,2233.5867019372185,7193.316966718163,groom_10,1,28308504.904681325,0.0,378
Mus_caroli,48,-1.7692425844671076,-59.679394113456105,0.0,2092.4766599147283,7132.728772910723,groom_11,1,28308504.904681325,0.0,378
Mus_caroli,49,-1.6764331259136853,-22.52451183998207,2.86271250233131e-112,336.1689196906874,1074.5192867515152,syllable_49,1,28308504.904681325,0.0,378
Mus_caroli,50,-39.175437520671586,-24.916721240465577,5.958714817012437e-137,0.0,620.8429973760685,syllable_50,1,28308504.904681325,0.0,378
Mus_caroli,52,-5.156394091308716,-3.1723181632541912,0.0015842852608721398,0.2986943290559772,10.652615939793966,syllable_52,1,28308504.904681325,0.0,378
