component,evr_species_arm,evr_arm_contrast,evr_direction_only
1,0.8852458724418139,0.4760907361203189,0.5096351769423911
2,0.054418025658265964,0.3188030282146715,0.29748125795396513
3,0.03078231506704604,0.09762904038459241,0.09070901197579606
4,0.014106625514835214,0.05651218315057647,0.047543294183463876
5,0.006797562838768906,0.026855766957978682,0.03075173230480267
6,0.0035869727753540352,0.016572159586188785,0.018310861024638792
7,0.0023417790788141306,0.007537085585673242,0.00556866561494234
8,0.0012301819293026703,7.806350404725958e-32,6.070366351418437e-32
