moseq_cluster,moseq_label,contrast_PC1,contrast_PC2,contrast_PC3,contrast_PC4
0,head_low,-0.007302654710985913,0.20176861785223296,-0.13217930030881087,-0.2025265960806184
1,head_down,-0.05083915655617453,0.18880743695286345,-0.034913402135441585,-0.0905076386317265
2,sniff_floor,0.00594690314597972,0.1974864704370757,-0.039243002760212455,-0.17485280254651336
3,step_to_stop,-0.06900767893854517,0.07542459375338151,-0.1931563611214974,-0.13744013220545223
4,turn_left,-0.08306928939533574,0.07015966679401024,-0.12191043695179421,-0.1292651790766088
5,enter_rear,-0.16809147361271806,0.04184856516661681,0.04788787772853313,0.04358668288953301
6,turn_right,-0.09593766638857947,-0.0030650484802995934,-0.06658282905061591,-0.18051573350265615
7,extend_rear,-0.1702406375653711,0.1390089095624462,0.02567491040686913,0.022154235482917308
8,extend_rear_2,-0.158102972743525,0.1483856568985739,0.010388725527413222,0.044186085152226336
9,still,-0.02818304986683604,0.16505488528706241,-0.03171565437624106,-0.04749456611580032
10,motionless_rear,-0.1681322379380359,0.07284923374489448,0.14436493051433588,0.028608085628190533
11,start_moving,-0.14556310211193932,0.0783962915360413,-0.1675089223023139,-0.066713188948196
12,leave_rear_turn_right,-0.1671011886813002,0.13850348711712768,-0.040989922534628194,0.008414341856154509
13,take_a_step,-0.11686486064273197,0.07378640237521174,-0.19406695493572132,0.0066362863786643975
14,curve_spine,0.022351975703329544,0.05156300758411791,-0.11542098674939588,0.02775825693336607
15,leave_rear_turn_left,-0.1619115708766636,0.1490133927704914,0.005909588850942147,0.017682866202293174
16,brief_walk,-0.1731617975909181,-0.005027931627844423,0.06166632153343847,-0.28581694356285353
17,slow_locomotion,-0.15533616658781385,-0.04904020503135623,-0.05712462846555246,-0.17019280169817333
18,leave_rear_turn_right_2,-0.20244685656572828,-0.10736457131993682,0.10490111727410263,0.05798361874441341
19,high_rear,-0.142823302439357,0.12993868139941414,0.1592369110693238,0.003112209112649772
20,enter_wall_rear,-0.17602443484108088,0.007654025710142863,0.11722722480458762,-0.08542489994438492
21,leave_rear_turn_left_2,-0.202838063909602,-0.06338457288392489,0.1526755944013887,0.05784417722533834
22,stopping,-0.16537365518909364,-0.006337083784570107,-0.10986640901640331,0.007912457297930619
23,scrunch_idle,0.14823641118673486,0.08639654971082848,0.08990124102122972,-0.14317704220854136
24,end_and_enter_rear,-0.19793304063222916,-0.04731938507549335,0.1675988962625082,-0.10961477452568312
25,mid_rear,-0.18526103185498943,0.020270438887926623,0.11789408115547226,-0.03629515397268543
27,stop_rear_start_walking,-0.15853736701909438,0.05988307244750815,0.11294048889065551,-0.32546005167069036
28,mid_rear_2,-0.09387540171920454,0.13231600645056849,0.03359616794118739,-0.04236690109215622
29,mid_rear_3,-0.13570587189018354,0.04436590116123715,0.16052669874561212,-0.003949040792310384
30,mid_rear_4,-0.1673291615266808,0.047242804355824994,0.07597297069933891,-0.010401589977751887
31,groom_1,0.045380076530996176,0.13224531459775019,0.06400334409985274,0.1240363429275689
32,slow_locomotion_2,-0.0935301527144703,0.14185206433494618,-0.28565665425082737,-0.06473025520239978
33,jump_1,-0.2067917599309571,-0.134107599085945,0.21096566555189128,-0.0330738008081929
34,very_slow_locomotion,-0.07853311263209113,0.14772900576053719,-0.2897488924139969,-0.041587273046648936
35,groom_2,0.3180648252243824,0.07392205507930176,0.14083850706416048,-0.14285170079901877
36,groom_3,0.12111287408988836,0.10447489150730335,0.22400678372647528,0.06675755905985814
37,groom_4,0.110544419275266,0.145049859056806,0.23909459152510448,0.006047438393334802
38,brief_fast,-0.25869604124811574,-0.24544933486036707,0.15156427604660308,-0.016562833381799737
39,paused_in_rear,-0.150863886132255,0.11570692355458836,-0.055364751206280094,-0.005148107767635105
40,groom_5,0.08998808100478548,0.20037408265901221,0.07844956948721822,0.06039639656931286
41,jump_2,-0.18442892485767384,-0.10255720082321486,0.15717552371380283,0.03416945238180389
42,groom_6,0.027665310188000537,0.19836867613934472,0.21627836270243514,-0.12210299472621268
43,very_fast,0.06510275465280119,0.18862936207466482,-0.13956649703999302,-0.3256153229716209
44,groom_7,0.10539804557736389,0.2739734505779833,0.2759690231989853,0.07713533508223465
45,idle_enter_groom,-0.004908117806191148,0.02809224150680846,-0.0349219883199498,0.11635601213913231
46,groom_9,0.022083556041218835,0.3409495119958442,0.18931274131674722,0.11619644021725624
47,groom_10,-0.04707054834886911,0.2738702042830488,0.009911510382489209,0.21660140751319543
48,groom_11,-0.06770018624976423,0.29384960318125986,-0.007571166013250876,0.16703930980213358
49,groom_12,-0.20460135900491647,0.06966088004641621,-0.2271396110323245,0.5398142956831697
