species,n_rows,JSD_obs,JSD_null,excess,ratio,frac_rows_p01,n_cells,r_lift,n_clusters_chi2_gt_0_5,n_clusters_chi2_gt_0_9,arm2_occupancy
Mus_caroli,28,0.006153033167305649,0.005618931050109357,0.0005341021171962916,1.0950540436309317,0.14285714285714285,882,0.9758334478582705,4.0,0.0,0.23875464406366445
Mus_musculus,46,0.01740277316388171,0.0021199961099311122,0.015282777053950597,8.208870328751312,0.7391304347826086,1482,0.9513880794042759,23.0,2.0,0.13895442797907326
Mus_spretus,25,0.023522597303579595,0.007661459044764205,0.015861138258815386,3.0702503486793153,0.6,764,0.935925136565062,39.0,2.0,0.3448129191897992
Peromyscus_californicus,5,0.038851426643284045,0.014673792324184887,0.024177634319099153,2.647674560532681,0.8,158,0.9100507710120931,34.0,3.0,0.08544847026178937
Peromyscus_gossypinus,4,0.01952290133402828,0.01751067960544078,0.0020122217285875044,1.114913971012426,0.25,136,0.9598844893143642,9.0,2.0,0.10962818873861872
Peromyscus_maniculatus,28,0.031625170222673166,0.010499302195742686,0.02112586802693048,3.012121151774897,0.6428571428571429,967,0.9286091588965473,4.0,2.0,0.05830331440960173
Peromyscus_polionotus,34,0.03290766554427656,0.01009067249968076,0.022816993044595796,3.261196470831618,0.5882352941176471,1022,0.9015125616476412,51.0,1.0,0.18201653293470832
