cluster,x,y,embedding_method
174,-0.8255334,6.0588036,UMAP
175,-0.32361162,6.2277513,UMAP
176,3.9826884,8.048466,UMAP
177,-0.75316405,6.2814355,UMAP
178,3.335945,3.2920723,UMAP
179,1.3367518,6.3605547,UMAP
180,5.093867,6.162905,UMAP
181,2.5455527,8.023884,UMAP
182,-0.92052174,5.958394,UMAP
183,-1.0831538,6.1181808,UMAP
184,-0.104872376,5.595887,UMAP
185,5.8840256,4.598292,UMAP
186,1.2331095,5.703675,UMAP
187,6.1111207,8.727523,UMAP
188,4.7122025,8.449574,UMAP
189,6.530603,7.318274,UMAP
190,5.2791853,5.1929064,UMAP
191,5.96582,8.580303,UMAP
192,2.7289686,4.0737696,UMAP
193,2.575714,5.1969376,UMAP
194,3.820654,4.0441422,UMAP
195,5.8900995,8.142484,UMAP
196,5.6746387,8.092442,UMAP
197,2.0008614,4.732834,UMAP
198,2.567078,4.447912,UMAP
199,3.1239197,2.3579452,UMAP
200,-0.3339394,5.91156,UMAP
201,5.239156,4.94661,UMAP
202,4.52164,8.979715,UMAP
203,5.6499085,6.007728,UMAP
204,1.2651105,5.405982,UMAP
205,5.6627364,7.8667088,UMAP
206,0.2108001,5.9709263,UMAP
207,4.226971,6.3717365,UMAP
208,5.00015,4.9655666,UMAP
209,3.1634848,5.640167,UMAP
210,4.0811634,2.281822,UMAP
211,5.755206,3.5898511,UMAP
212,4.035181,3.1836326,UMAP
213,0.970162,6.021966,UMAP
214,5.5412817,4.674825,UMAP
215,4.972234,9.067901,UMAP
216,3.7361755,2.1610818,UMAP
217,3.0004332,7.4567237,UMAP
218,6.2964225,6.982914,UMAP
219,1.5782595,5.945278,UMAP
220,5.6960597,5.116336,UMAP
221,2.0652323,3.6853776,UMAP
222,4.9192495,3.4358196,UMAP
223,6.2139273,8.143977,UMAP
224,3.6533017,8.881168,UMAP
225,1.7460746,5.8997707,UMAP
226,5.197849,3.4400783,UMAP
227,6.3761263,8.306225,UMAP
