species,min_occupancy,min_outgoing,n_active_clusters,status,retained_occupancy_frames,retained_occupancy_fraction,retained_within_active_transitions,retained_within_active_transition_fraction,mean_transition_entropy_bits,stationary_weighted_transition_entropy_bits,pi_effective_clusters,frobenius_delta_from_previous_threshold,lambda_2_real,lambda_2_imag,lambda_2_abs,lambda_3_real,lambda_3_imag,lambda_3_abs,lambda_4_real,lambda_4_imag,lambda_4_abs,lambda_5_real,lambda_5_imag,lambda_5_abs,lambda_6_real,lambda_6_imag,lambda_6_abs,lambda_7_real,lambda_7_imag,lambda_7_abs,lambda_8_real,lambda_8_imag,lambda_8_abs,lambda_9_real,lambda_9_imag,lambda_9_abs,lambda_10_real,lambda_10_imag,lambda_10_abs,lambda_11_real,lambda_11_imag,lambda_11_abs,lambda_12_real,lambda_12_imag,lambda_12_abs,lambda_13_real,lambda_13_imag,lambda_13_abs
Mus_caroli,1,1,1196,ok,9288164,1.0,9286364,1.0,7.316472556038913,7.921234009384661,691.6698548699601,,0.7647085948294164,0.0,0.7647085948294164,0.6888059970580462,0.0,0.6888059970580462,0.6007803507720325,0.0,0.6007803507720325,0.5404680556882998,0.0,0.5404680556882998,0.48441399492844556,0.0,0.48441399492844556,0.4213184203390351,0.0,0.4213184203390351,0.3999494716405947,0.0,0.3999494716405947,0.3657055646256988,0.0030516208523367607,0.36571829649065635,0.3657055646256988,-0.0030516208523367607,0.36571829649065635,0.334675283669215,0.0,0.334675283669215,0.3254496318845266,0.0,0.3254496318845266,0.3127789672328709,0.0,0.3127789672328709
Mus_caroli,1,5,1196,ok,9288164,1.0,9286364,1.0,7.316472556038913,7.921234009384661,691.6698548699601,0.0,0.7647085948294164,0.0,0.7647085948294164,0.6888059970580462,0.0,0.6888059970580462,0.6007803507720325,0.0,0.6007803507720325,0.5404680556882998,0.0,0.5404680556882998,0.48441399492844556,0.0,0.48441399492844556,0.4213184203390351,0.0,0.4213184203390351,0.3999494716405947,0.0,0.3999494716405947,0.3657055646256988,0.0030516208523367607,0.36571829649065635,0.3657055646256988,-0.0030516208523367607,0.36571829649065635,0.334675283669215,0.0,0.334675283669215,0.3254496318845266,0.0,0.3254496318845266,0.3127789672328709,0.0,0.3127789672328709
Mus_caroli,1,10,1196,ok,9288164,1.0,9286364,1.0,7.316472556038913,7.921234009384661,691.6698548699601,0.0,0.7647085948294164,0.0,0.7647085948294164,0.6888059970580462,0.0,0.6888059970580462,0.6007803507720325,0.0,0.6007803507720325,0.5404680556882998,0.0,0.5404680556882998,0.48441399492844556,0.0,0.48441399492844556,0.4213184203390351,0.0,0.4213184203390351,0.3999494716405947,0.0,0.3999494716405947,0.3657055646256988,0.0030516208523367607,0.36571829649065635,0.3657055646256988,-0.0030516208523367607,0.36571829649065635,0.334675283669215,0.0,0.334675283669215,0.3254496318845266,0.0,0.3254496318845266,0.3127789672328709,0.0,0.3127789672328709
Mus_caroli,1,25,1194,ok,9288120,0.9999952627882109,9286276,0.9999905237399697,7.325732620861304,7.921240047852573,691.6692675715084,0.8274262547492981,0.7647172028314263,0.0,0.7647172028314263,0.6888105398823459,0.0,0.6888105398823459,0.6007787114192485,0.0,0.6007787114192485,0.5404726629028681,0.0,0.5404726629028681,0.4844034822299974,0.0,0.4844034822299974,0.4213254198351183,0.0,0.4213254198351183,0.3999551742826215,0.0,0.3999551742826215,0.36570601691418897,0.003047345867558526,0.3657187131171683,0.36570601691418897,-0.003047345867558526,0.3657187131171683,0.33471480621209043,0.0,0.33471480621209043,0.3254610276298846,0.0,0.3254610276298846,0.31279275393512945,0.0,0.31279275393512945
Mus_caroli,1,50,1191,ok,9287977,0.9999798668498963,9285991,0.9999598335796444,7.33870763527948,7.9213330322641955,691.6304538777797,0.9323347806930542,0.7644274865277186,0.0,0.7644274865277186,0.6887257774893676,0.0,0.6887257774893676,0.6006461293368366,0.0,0.6006461293368366,0.5404720232189634,0.0,0.5404720232189634,0.4846651881783464,0.0,0.4846651881783464,0.4213846068092791,0.0,0.4213846068092791,0.3999462700630581,0.0,0.3999462700630581,0.3656797911424475,0.0029240799498625814,0.36569148184437816,0.3656797911424475,-0.0029240799498625814,0.36569148184437816,0.3333292044033934,0.0,0.3333292044033934,0.3216285302197863,0.0,0.3216285302197863,0.3122844907348785,0.0,0.3122844907348785
Mus_caroli,1,100,1189,ok,9287818,0.9999627482891129,9285673,0.9999255898218076,7.345926870536206,7.921364934020545,691.6058926633953,0.5335098505020142,0.7644272695393394,0.0,0.7644272695393394,0.6887231320188989,0.0,0.6887231320188989,0.6006461875359413,0.0,0.6006461875359413,0.540479276292193,0.0,0.540479276292193,0.484666637786483,0.0,0.484666637786483,0.4213926972321322,0.0,0.4213926972321322,0.3999492540907534,0.0,0.3999492540907534,0.3656813061096772,0.0029339208960869343,0.3656930755837522,0.3656813061096772,-0.0029339208960869343,0.3656930755837522,0.3333374455237602,0.0,0.3333374455237602,0.32163026202740114,0.0,0.32163026202740114,0.31228907497260305,0.0,0.31228907497260305
Mus_caroli,1,250,1178,ok,9285741,0.9997391303598859,9281581,0.9994849437303986,7.381057733423526,7.921940881958651,691.2111249262439,1.226591944694519,0.7627204328067952,0.0,0.7627204328067952,0.6882550764376216,0.0,0.6882550764376216,0.5974390043095709,0.0,0.5974390043095709,0.5401363347900017,0.0,0.5401363347900017,0.4845919630747893,0.0,0.4845919630747893,0.4193322683826778,0.0,0.4193322683826778,0.39826498934947174,0.0,0.39826498934947174,0.3687807687763044,0.0,0.3687807687763044,0.3565145906555926,0.0,0.3565145906555926,0.332497104751624,0.0,0.332497104751624,0.31662067399503324,0.0,0.31662067399503324,0.3085325315434601,0.0,0.3085325315434601
Mus_caroli,1,500,1173,ok,9283737,0.9995233718956729,9277730,0.9990702496693,7.393911310736279,7.9225141024010615,690.7812165916794,0.6658743023872375,0.7621629272078317,0.0,0.7621629272078317,0.6882664399991594,0.0,0.6882664399991594,0.5956147289702904,0.0,0.5956147289702904,0.5402691110950703,0.0,0.5402691110950703,0.4874259430476721,0.0,0.4874259430476721,0.41970152748100115,0.0,0.41970152748100115,0.39968853218433675,0.0,0.39968853218433675,0.36826210972987977,0.0,0.36826210972987977,0.35866317383916313,0.0,0.35866317383916313,0.33286458810772057,0.0,0.33286458810772057,0.3152008792177159,0.0,0.3152008792177159,0.3052635184501731,0.0,0.3052635184501731
Mus_caroli,1,1000,1136,ok,9255604,0.9964944632760576,9225711,0.99346859545889,7.466113883410581,7.928269061257376,685.5590628609133,1.4906429052352905,0.7473999732529998,0.0,0.7473999732529998,0.6838818034337312,0.0,0.6838818034337312,0.6151681766083033,0.0,0.6151681766083033,0.544630869783492,0.0,0.544630869783492,0.5084187537503166,0.0,0.5084187537503166,0.4193346236849364,0.0,0.4193346236849364,0.39314458405148045,0.0,0.39314458405148045,0.3642245732016677,0.0,0.3642245732016677,0.3503525989743298,0.0,0.3503525989743298,0.3285706790827907,0.0,0.3285706790827907,0.30964732982294924,0.0,0.30964732982294924,0.30671445286760735,0.0,0.30671445286760735
Mus_musculus,1,1,1199,ok,85753527,1.0,85742367,1.0,8.059036044929021,8.101750036651653,971.0082568247864,,0.8834592112529994,0.0,0.8834592112529994,0.7770729429014279,0.0,0.7770729429014279,0.7644144944847787,0.0,0.7644144944847787,0.7269513162228621,0.0,0.7269513162228621,0.6391741025369994,0.0,0.6391741025369994,0.5710408669138196,0.0,0.5710408669138196,0.5547247980542758,0.0,0.5547247980542758,0.49802375583426656,0.0,0.49802375583426656,0.475871656545939,0.0,0.475871656545939,0.43719101045906583,0.0,0.43719101045906583,0.42522375210568153,0.0028122697466124265,0.4252330516504589,0.42522375210568153,-0.0028122697466124265,0.4252330516504589
Mus_musculus,1,5,1199,ok,85753527,1.0,85742367,1.0,8.059036044929021,8.101750036651653,971.0082568247864,0.0,0.8834592112529994,0.0,0.8834592112529994,0.7770729429014279,0.0,0.7770729429014279,0.7644144944847787,0.0,0.7644144944847787,0.7269513162228621,0.0,0.7269513162228621,0.6391741025369994,0.0,0.6391741025369994,0.5710408669138196,0.0,0.5710408669138196,0.5547247980542758,0.0,0.5547247980542758,0.49802375583426656,0.0,0.49802375583426656,0.475871656545939,0.0,0.475871656545939,0.43719101045906583,0.0,0.43719101045906583,0.42522375210568153,0.0028122697466124265,0.4252330516504589,0.42522375210568153,-0.0028122697466124265,0.4252330516504589
Mus_musculus,1,10,1199,ok,85753527,1.0,85742367,1.0,8.059036044929021,8.101750036651653,971.0082568247864,0.0,0.8834592112529994,0.0,0.8834592112529994,0.7770729429014279,0.0,0.7770729429014279,0.7644144944847787,0.0,0.7644144944847787,0.7269513162228621,0.0,0.7269513162228621,0.6391741025369994,0.0,0.6391741025369994,0.5710408669138196,0.0,0.5710408669138196,0.5547247980542758,0.0,0.5547247980542758,0.49802375583426656,0.0,0.49802375583426656,0.475871656545939,0.0,0.475871656545939,0.43719101045906583,0.0,0.43719101045906583,0.42522375210568153,0.0028122697466124265,0.4252330516504589,0.42522375210568153,-0.0028122697466124265,0.4252330516504589
