species,aligned_arm,moseq_cluster,soft_frames,p_syllable_given_species_arm,p_syllable_repertoire,log2_enrichment_vs_repertoire,moseq_label
Mus_caroli,1,0,44425.52815296234,0.0246059283614892,0.0440218136666582,-0.8392126093838709,head_low
Mus_caroli,1,1,124591.8038573097,0.0690075532605065,0.0400574498068412,0.7846836892072013,head_down
Mus_caroli,1,2,21016.291778427963,0.011640275117127,0.0378045809489102,-1.6994358203736244,sniff_floor
Mus_caroli,1,3,21126.15047011347,0.011701122454455,0.0342371555238016,-1.5489158342472575,step_to_stop
Mus_caroli,1,4,51739.00378618978,0.0286566367038883,0.0277448389479136,0.0466498669597134,turn_left
Mus_caroli,1,5,53783.42494942747,0.0297889784626657,0.0228871192896641,0.3802427482147748,enter_rear
Mus_caroli,1,6,45756.96300837097,0.0253433690185225,0.0237744585481498,0.0921958332336919,turn_right
Mus_caroli,1,7,10242.183601937417,0.0056728292594915,0.0297637467758214,-2.3914155964595314,extend_rear
Mus_caroli,1,8,28604.617305843447,0.0158432143296526,0.0208366905515363,-0.3952610693245658,extend_rear_2
Mus_caroli,1,9,31329.635677174112,0.0173525178678759,0.022562401078726,-0.3787755730471954,still
Mus_caroli,1,10,5355.810186272178,0.0029664178962014,0.0235112544512586,-2.986557333667869,motionless_rear
Mus_caroli,1,11,492767.3680830353,0.2729286304978291,0.0319643682940132,3.0939872153986774,start_moving
Mus_caroli,1,12,13074.054583899384,0.0072413151595627,0.0140684841888752,-0.9581431499741152,syllable_12
Mus_caroli,1,13,74294.43984105483,0.0411493963131211,0.0270332803071473,0.6061346634175857,take_a_step
Mus_caroli,1,14,86485.96488148578,0.0479019056075355,0.0491506315762137,-0.0371269046631832,curve_spine
Mus_caroli,1,15,17676.510342538266,0.0097904732988665,0.014815018687783,-0.597609885609512,syllable_15
Mus_caroli,1,16,3579.325891724355,0.0019824780961736,0.0303697207725121,-3.9372561326063034,brief_walk
Mus_caroli,1,17,4258.895500720467,0.0023588707202079,0.027529556850223,-3.5448125697152593,slow_locomotion
Mus_caroli,1,18,62855.62150414124,0.0348137880212157,0.0156704662802541,1.1516106404973658,leave_rear_turn_right_2
Mus_caroli,1,19,31452.836504482413,0.0174207550021737,0.0224348141792228,-0.3649320655592616,high_rear
Mus_caroli,1,20,21573.33808928591,0.0119488058693514,0.014062444764811,-0.2349809650486802,enter_wall_rear
Mus_caroli,1,21,58465.45536939872,0.0323822105499345,0.0139893132140278,1.2108762779127011,leave_rear_turn_left_2
Mus_caroli,1,22,44774.626427988485,0.0247992831172692,0.0214935770274076,0.2063928072018829,stopping
Mus_caroli,1,23,34663.66690630332,0.0191991348241551,0.0390727338611411,-1.0251208642100338,scrunch_idle
Mus_caroli,1,24,24136.166194362875,0.0133682772268828,0.0111177040813219,0.2659546474466849,end_and_enter_rear
Mus_caroli,1,25,5071.019072624744,0.0028086808915614,0.0097603954438278,-1.7970465122289565,syllable_25
