species,aligned_arm,moseq_cluster,soft_frames,p_syllable_given_species_arm,p_syllable_repertoire,log2_enrichment_vs_repertoire,moseq_label
Mus_caroli,1,0,188504.5111214025,0.022605699769546243,0.040573731923181575,-0.8438594283878009,head_low
Mus_caroli,1,1,519980.0001587839,0.062356660325162315,0.04248248924878019,0.5536753598757603,head_down
Mus_caroli,1,2,80848.82432624382,0.009695493431787409,0.030048559373321234,-1.631909596804358,sniff_floor
Mus_caroli,1,3,96115.00241950224,0.011526232847791982,0.033851374359223356,-1.5542933383172717,step_to_stop
Mus_caroli,1,4,220547.5804225138,0.02644834523201573,0.03130655107045301,-0.2432871192734379,turn_left
Mus_caroli,1,5,291172.9046575546,0.034917823581825484,0.023451399746048342,0.574289603397238,enter_rear
Mus_caroli,1,6,189068.3602216097,0.022673317267922207,0.026279702800546055,-0.2129534770996764,turn_right
Mus_caroli,1,7,56494.16606094981,0.006774851960345057,0.023833783952666693,-1.8147466910078174,extend_rear
Mus_caroli,1,8,162239.4926982809,0.01945596548794965,0.01763438337878145,0.14182144481511438,extend_rear_2
Mus_caroli,1,9,115712.53740801197,0.013876394069600161,0.024648901613166296,-0.8288906429051618,still
Mus_caroli,1,10,23736.83132436831,0.0028465508820287723,0.016897503175684246,-2.5695232922204045,motionless_rear
Mus_caroli,1,11,2066725.3421096816,0.24784432113539867,0.042130944759894096,2.5564820297678734,start_moving
Mus_caroli,1,12,62597.55485273327,0.007506778075975324,0.011464369274883191,-0.6108912474918321,leave_rear_turn_right
Mus_caroli,1,13,291925.57683939615,0.035008084983350465,0.03435619147361984,0.027118028831420997,take_a_step
Mus_caroli,1,14,522637.14585050486,0.06267530860256244,0.06941183880562808,-0.14728455358170922,curve_spine
Mus_caroli,1,15,85074.17194063618,0.010202202470338782,0.012744230421561972,-0.3209636193094372,leave_rear_turn_left
Mus_caroli,1,16,9693.883640003423,0.0011625028062363068,0.017884303409966176,-3.943387822797816,brief_walk
Mus_caroli,1,17,9936.357165553683,0.0011915805385836376,0.017462096356820934,-3.873278396284186,slow_locomotion
Mus_caroli,1,18,339296.09661469416,0.040688817723364766,0.019430739064254514,1.0662915852134367,leave_rear_turn_right_2
Mus_caroli,1,19,207422.5087183644,0.02487437000652798,0.027835185886624505,-0.16224973075788443,high_rear
Mus_caroli,1,20,100329.39053742368,0.012031627609643165,0.009911856987303822,0.2796045431374434,enter_wall_rear
Mus_caroli,1,21,285700.54729885334,0.03426157155503554,0.016183347652003455,1.0820812569933846,leave_rear_turn_left_2
Mus_caroli,1,22,193373.4434809111,0.023189588306019488,0.01993118357480233,0.21844982309610678,stopping
Mus_caroli,1,23,188598.38211961108,0.022616956898566378,0.04476507848228931,-0.984968887204136,scrunch_idle
Mus_caroli,1,24,119434.62947807489,0.01432275206575582,0.008457368189545029,0.7600280354471961,end_and_enter_rear
Mus_caroli,1,25,38786.270383759394,0.004651298678528859,0.009207616985881323,-0.9851942381013985,mid_rear
Mus_caroli,1,26,30874.658112397403,0.0037025281125858305,0.02360235103334481,-2.6723479790159197,still_2
Mus_caroli,1,27,354703.97074694926,0.04253654950786512,0.013416974814670387,1.664643591790512,stop_rear_start_walking
Mus_caroli,1,28,424607.9203871857,0.050919519702434905,0.04318116061059329,0.23781679088878405,mid_rear_2
Mus_caroli,1,29,207893.2406030036,0.024930820770452947,0.012102261443192942,1.042653723471507,mid_rear_3
Mus_caroli,1,30,52298.808985774696,0.006271739425248371,0.008922034512126331,-0.5085071083363168,mid_rear_4
Mus_caroli,1,31,80030.56052752178,0.009597366200475233,0.02172565518244134,-1.1786892378571863,groom_1
Mus_caroli,1,32,117099.12428793524,0.014042675324756703,0.034270983571263666,-1.2871697822704018,slow_locomotion_2
Mus_caroli,1,33,36086.28115476911,0.00432751254986558,0.006767273207908814,-0.645036630672527,jump_1
Mus_caroli,1,34,48299.20162094356,0.005792101443390158,0.016640496954143852,-1.5225397437233226,very_slow_locomotion
Mus_caroli,1,35,17438.898628761013,0.002091294815005434,0.020018789978982026,-3.2588864125027732,groom_2
Mus_caroli,1,36,23384.26705036825,0.002804270927665343,0.017230361213409588,-2.619255302623564,groom_3
Mus_caroli,1,37,28914.43273580172,0.0034674554022280962,0.016859500103994448,-2.2816125278908124,groom_4
Mus_caroli,1,38,25081.5260482656,0.0030078083767660626,0.006297115409316486,-1.0659784504678167,brief_fast
Mus_caroli,1,39,124786.75838000522,0.014964586143705435,0.011957200310493793,0.3236727478641006,paused_in_rear
Mus_caroli,1,40,38822.55390769035,0.004655649844682311,0.01160799645073193,-1.3180645222593428,groom_5
Mus_caroli,1,41,111939.88205622754,0.013423972460647336,0.00883372720527072,0.6037174749488711,jump_2
Mus_caroli,1,42,25319.979850379503,0.0030364040587867545,0.012387155874871613,-2.0284092885354292,groom_6
Mus_caroli,1,43,49310.72971879842,0.005913405174279869,0.011291136998855773,-0.933129734355706,very_fast
Mus_caroli,1,44,39408.19550695158,0.004725880727151378,0.008633185446083932,-0.8693097600859684,groom_7
Mus_caroli,1,45,2325.134199844043,0.00027883303870498646,0.001980982452708621,-2.828742680839039,idle_enter_groom
Mus_caroli,1,46,11586.921607028524,0.0013895183173259133,0.005638575548418596,-2.020745893179977,groom_9
Mus_caroli,1,47,11812.53974437062,0.0014165747301670625,0.006012915450013826,-2.0856579605251957,groom_10
Mus_caroli,1,48,9353.118920684652,0.0011216378694178307,0.00627466080249054,-2.4839305070987305,groom_11
Mus_caroli,1,49,1416.0600506343876,0.00016981571512457528,0.0009031806159642048,-2.411044548082703,groom_12
Mus_caroli,1,51,4.621819478666724,5.542544467622467e-07,1.4275265507881752e-06,-1.3648972338081005,unnamed_51
Mus_caroli,1,52,0.8833500508367746,1.0593245711647227e-07,2.5271078128817684e-06,-4.576270618733107,unnamed_52
Mus_caroli,1,55,0.8849439859509537,1.0612360383454769e-07,6.623208771674871e-07,-2.6417847607053426,unnamed_55
Mus_caroli,1,56,1.7771108856655382,2.1311338863755404e-07,3.0865438935960555e-07,-0.5343710761505924,unnamed_56
Mus_caroli,1,61,0.6379917817030062,7.65087826642392e-08,0.0010947135251613783,-13.804568487324403,unnamed_61
Mus_caroli,1,62,0.8833500508367746,1.0593245711647227e-07,6.108784789408859e-07,-2.5277407248054486,unnamed_62
Mus_caroli,1,81,26.23032693406362,3.1455740342818854e-06,5.079936824876843e-07,2.6304408572753837,unnamed_81
Mus_caroli,1,89,22.311390675288035,2.6756102336553058e-06,1.6718779423645303e-07,4.0003265378600545,unnamed_89
Mus_caroli,2,0,21243.488878597906,0.022385590678140218,0.040573731923181575,-0.8579756195412839,head_low
Mus_caroli,2,1,56003.999841231205,0.059014911531197416,0.04248248924878019,0.47421122909605445,head_down
Mus_caroli,2,2,9716.175673757089,0.01023854098696357,0.030048559373321234,-1.5532856820633307,sniff_floor
Mus_caroli,2,3,11548.997580497296,0.012169899871781681,0.033851374359223356,-1.4758971098442493,step_to_stop
Mus_caroli,2,4,25979.419577487537,0.027376136567812324,0.03130655107045301,-0.1935457187887201,turn_left
