species,aligned_arm,moseq_cluster,soft_frames,p_syllable_given_species_arm,p_syllable_repertoire,log2_enrichment_vs_repertoire,moseq_label
Mus_caroli,1,0,110671.35454634333,0.020873979166042216,0.04077517685120978,-0.9659854893836981,head_low
Mus_caroli,1,1,336010.4183708221,0.06337569917162826,0.04244067230866573,0.5784822478949637,head_down
Mus_caroli,1,2,39805.01987161499,0.0075077165081236545,0.02986160508144264,-1.9918456333405952,sniff_floor
Mus_caroli,1,3,62304.756726239335,0.01175144371531341,0.03409158934246711,-1.5365778502158014,step_to_stop
Mus_caroli,1,4,149428.15022670655,0.02818398769436186,0.03143200346235813,-0.15735848178881184,turn_left
Mus_caroli,1,5,208235.6208531317,0.039275800220697266,0.023397705516331056,0.7472736102428506,enter_rear
Mus_caroli,1,6,129306.26073337492,0.024388751756508363,0.026322317845254867,-0.11007061173399164,turn_right
Mus_caroli,1,7,31896.052502126924,0.006015987950428357,0.02382739870176507,-1.9857478748854736,extend_rear
Mus_caroli,1,8,94709.29510027028,0.017863338357585017,0.017154155232421586,0.05844363991594162,extend_rear_2
Mus_caroli,1,9,65080.99806122031,0.012275076989920445,0.024899784486745867,-1.020401182269652,still
Mus_caroli,1,10,8903.145558181755,0.0016792427964356896,0.016568283149204797,-3.302541369091582,motionless_rear
Mus_caroli,1,11,1481837.547453844,0.27949279395562115,0.041246050158697124,2.760483212725053,start_moving
Mus_caroli,1,12,40940.00696345539,0.007721789038508041,0.011388424399465157,-0.560561117382192,leave_rear_turn_right
Mus_caroli,1,13,201157.43558048183,0.03794076738839548,0.034911518752257384,0.12004573926303518,take_a_step
Mus_caroli,1,14,290432.7004149048,0.05477918077761896,0.07085788080866151,-0.3713006278034663,curve_spine
Mus_caroli,1,15,55718.021516596265,0.010509104411688532,0.012663089991945754,-0.26898976013832737,leave_rear_turn_left
Mus_caroli,1,16,6260.724477630758,0.0011808496683364481,0.017639011971229693,-3.9008725374197577,brief_walk
Mus_caroli,1,17,7095.37922496847,0.0013382758232631953,0.016568400775439574,-3.629986960489682,slow_locomotion
Mus_caroli,1,18,225813.5537131308,0.04259121463670193,0.019293884658760446,1.1424122269964108,leave_rear_turn_right_2
