global_id,species,source_individual_id,component,mean,std,variance,q01,q99
Mus_caroli__subject__CAROLI-F-2L-741,Mus_caroli,CAROLI-F-2L-741,1,-0.004062965977936983,0.02221003547310829,0.0004932857118546963,-0.03931387960910797,0.05728488359600303
Mus_caroli__subject__CAROLI-F-2L-741,Mus_caroli,CAROLI-F-2L-741,2,-0.011474113911390305,0.016016313806176186,0.0002565222966950387,-0.04008341245353222,0.026738530490547408
Mus_caroli__subject__CAROLI-F-2L-741,Mus_caroli,CAROLI-F-2L-741,3,-0.00017966169980354607,0.01598280295729637,0.0002554499951656908,-0.03656626157462597,0.03938425946980709
Mus_caroli__subject__CAROLI-F-2L-741,Mus_caroli,CAROLI-F-2L-741,4,0.0011669460218399763,0.011814349330961704,0.00013957885676063597,-0.028016661014407872,0.02669927310198541
Mus_caroli__subject__CAROLI-F-2L-741,Mus_caroli,CAROLI-F-2L-741,5,-0.0012293870095163584,0.011176090687513351,0.0001249049964826554,-0.02828230718150735,0.024246823508292405
Mus_caroli__subject__CAROLI-F-2L-741,Mus_caroli,CAROLI-F-2L-741,6,-0.001637510722503066,0.01042965054512024,0.0001087776108761318,-0.025799739081412552,0.023552977479994297
Mus_caroli__subject__CAROLI-F-2L-741,Mus_caroli,CAROLI-F-2L-741,7,0.0008218489238061011,0.008312823250889778,6.910303636686876e-05,-0.01817037435248494,0.021407228894531696
Mus_caroli__subject__CAROLI-F-2L-741,Mus_caroli,CAROLI-F-2L-741,8,0.0009280958329327404,0.008550823666155338,7.311657827813178e-05,-0.017128410283476114,0.02487734500318764
Mus_caroli__subject__CAROLI-F-2L-741,Mus_caroli,CAROLI-F-2L-741,9,-0.0033994303084909916,0.006676322314888239,4.4573280320037156e-05,-0.018877875804901124,0.011712565086781973
Mus_caroli__subject__CAROLI-F-2L-741,Mus_caroli,CAROLI-F-2L-741,10,-0.0009222950902767479,0.007058086805045605,4.981659003533423e-05,-0.018452374916523694,0.015359417069703327
Mus_caroli__subject__CAROLI-F-2L-741,Mus_caroli,CAROLI-F-2L-741,11,0.0011972637148573995,0.006768370047211647,4.581083339871839e-05,-0.014815314579755068,0.01729375114664435
Mus_caroli__subject__CAROLI-F-2L-741,Mus_caroli,CAROLI-F-2L-741,12,-0.0012433130759745836,0.00625331187620759,3.910391023964621e-05,-0.015315808169543744,0.014284513145685188
Mus_caroli__subject__CAROLI-F-2L-741,Mus_caroli,CAROLI-F-2L-741,13,-0.0008845345582813025,0.005678020883351564,3.223992098355666e-05,-0.013740963395684957,0.012617334257811306
Mus_caroli__subject__CAROLI-F-2L-741,Mus_caroli,CAROLI-F-2L-741,14,0.0006439260323531926,0.005453139077872038,2.9736725991824642e-05,-0.012351724924519658,0.01324315993115305
Mus_caroli__subject__CAROLI-F-2L-741,Mus_caroli,CAROLI-F-2L-741,15,-0.00016536263865418732,0.005113679450005293,2.6149717086809687e-05,-0.012554634921252727,0.011472147190943345
Mus_caroli__subject__CAROLI-F-2L-741,Mus_caroli,CAROLI-F-2L-741,16,-1.7211012163897976e-05,0.00451223598793149,2.0360273992992006e-05,-0.01087601282633841,0.010202117776498187
Mus_caroli__subject__CAROLI-F-2L-741,Mus_caroli,CAROLI-F-2L-741,17,0.0002731824351940304,0.004508079029619694,2.0322777345427312e-05,-0.01005642842501402,0.011353221954777806
Mus_caroli__subject__CAROLI-F-2L-741,Mus_caroli,CAROLI-F-2L-741,18,-0.001023429213091731,0.0044093057513237,1.944197720149532e-05,-0.011189090320840478,0.009834520798176509
Mus_caroli__subject__CAROLI-F-2L-741,Mus_caroli,CAROLI-F-2L-741,19,-6.994942668825388e-05,0.004285523202270269,1.8365710275247693e-05,-0.010393830202519895,0.009840655373409382
Mus_caroli__subject__CAROLI-F-2L-741,Mus_caroli,CAROLI-F-2L-741,20,-0.00046883540926501155,0.004440118558704853,1.9714650989044458e-05,-0.011101962625980377,0.00971323456615209
Mus_caroli__subject__CAROLI-F-2L-741,Mus_caroli,CAROLI-F-2L-741,21,-0.0001997378858504817,0.00397644005715847,1.5812076526344754e-05,-0.009687892999500037,0.009098576521500933
Mus_caroli__subject__CAROLI-F-2L-741,Mus_caroli,CAROLI-F-2L-741,22,0.00025949589326046407,0.0037970386911183596,1.4417502825381234e-05,-0.008561091544106603,0.00912829884327948
Mus_caroli__subject__CAROLI-F-2L-741,Mus_caroli,CAROLI-F-2L-741,23,-0.0004795786808244884,0.0035894629545509815,1.288424482481787e-05,-0.00869499109685421,0.008271202817559236
Mus_caroli__subject__CAROLI-F-2L-741,Mus_caroli,CAROLI-F-2L-741,24,-0.0001577247749082744,0.0035818852484226227,1.2829902516386937e-05,-0.008660628879442812,0.007986521068960428
Mus_caroli__subject__CAROLI-F-2L-741,Mus_caroli,CAROLI-F-2L-741,25,0.0007412696140818298,0.0035698418505489826,1.2743770639644936e-05,-0.007336533511988819,0.009549102978780854
